Date,Day,Week,Month,Quarter,Year,Weekend,Season,Festival,Holiday
2024-01-01,1,1,1,1,2024,False,Winter,New Year,True
2024-01-02,2,1,1,1,2024,False,Winter,None,False
2024-01-03,3,1,1,1,2024,False,Winter,None,False
2024-01-04,4,1,1,1,2024,False,Winter,None,False
2024-01-05,5,1,1,1,2024,False,Winter,None,False
2024-01-06,6,1,1,1,2024,True,Winter,None,False
2024-01-07,7,1,1,1,2024,True,Winter,None,False
2024-01-08,8,2,1,1,2024,False,Winter,None,False
2024-01-09,9,2,1,1,2024,False,Winter,None,False
2024-01-10,10,2,1,1,2024,False,Winter,None,False
2024-01-11,11,2,1,1,2024,False,Winter,None,False
2024-01-12,12,2,1,1,2024,False,Winter,None,False
2024-01-13,13,2,1,1,2024,True,Winter,None,False
2024-01-14,14,2,1,1,2024,True,Winter,None,False
2024-01-15,15,3,1,1,2024,False,Winter,None,False
2024-01-16,16,3,1,1,2024,False,Winter,None,False
2024-01-17,17,3,1,1,2024,False,Winter,None,False
2024-01-18,18,3,1,1,2024,False,Winter,None,False
2024-01-19,19,3,1,1,2024,False,Winter,None,False
2024-01-20,20,3,1,1,2024,True,Winter,None,False
2024-01-21,21,3,1,1,2024,True,Winter,None,False
2024-01-22,22,4,1,1,2024,False,Winter,None,False
2024-01-23,23,4,1,1,2024,False,Winter,None,False
2024-01-24,24,4,1,1,2024,False,Winter,None,False
2024-01-25,25,4,1,1,2024,False,Winter,None,False
2024-01-26,26,4,1,1,2024,False,Winter,Republic Day,True
2024-01-27,27,4,1,1,2024,True,Winter,None,False
2024-01-28,28,4,1,1,2024,True,Winter,None,False
2024-01-29,29,5,1,1,2024,False,Winter,None,False
2024-01-30,30,5,1,1,2024,False,Winter,None,False
2024-01-31,31,5,1,1,2024,False,Winter,None,False
2024-02-01,1,5,2,1,2024,False,Winter,None,False
2024-02-02,2,5,2,1,2024,False,Winter,None,False
2024-02-03,3,5,2,1,2024,True,Winter,None,False
2024-02-04,4,5,2,1,2024,True,Winter,None,False
2024-02-05,5,6,2,1,2024,False,Winter,None,False
2024-02-06,6,6,2,1,2024,False,Winter,None,False
2024-02-07,7,6,2,1,2024,False,Winter,None,False
2024-02-08,8,6,2,1,2024,False,Winter,None,False
2024-02-09,9,6,2,1,2024,False,Winter,None,False
2024-02-10,10,6,2,1,2024,True,Winter,None,False
2024-02-11,11,6,2,1,2024,True,Winter,None,False
2024-02-12,12,7,2,1,2024,False,Winter,None,False
2024-02-13,13,7,2,1,2024,False,Winter,None,False
2024-02-14,14,7,2,1,2024,False,Winter,None,False
2024-02-15,15,7,2,1,2024,False,Winter,None,False
2024-02-16,16,7,2,1,2024,False,Winter,None,False
2024-02-17,17,7,2,1,2024,True,Winter,None,False
2024-02-18,18,7,2,1,2024,True,Winter,None,False
2024-02-19,19,8,2,1,2024,False,Winter,None,False
2024-02-20,20,8,2,1,2024,False,Winter,None,False
2024-02-21,21,8,2,1,2024,False,Winter,None,False
2024-02-22,22,8,2,1,2024,False,Winter,None,False
2024-02-23,23,8,2,1,2024,False,Winter,None,False
2024-02-24,24,8,2,1,2024,True,Winter,None,False
2024-02-25,25,8,2,1,2024,True,Winter,None,False
2024-02-26,26,9,2,1,2024,False,Winter,None,False
2024-02-27,27,9,2,1,2024,False,Winter,None,False
2024-02-28,28,9,2,1,2024,False,Winter,None,False
2024-02-29,29,9,2,1,2024,False,Winter,None,False
2024-03-01,1,9,3,1,2024,False,Summer,None,False
2024-03-02,2,9,3,1,2024,True,Summer,None,False
2024-03-03,3,9,3,1,2024,True,Summer,None,False
